time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2020-05-13 12:00:00,9108.75,9002.45,9042.57,5110.58,46299644.94,9099.34,direct,
2020-05-13 13:00:00,9121.35,9051.87,9099.34,3124.09,28386618.27,9086.11,direct,
2020-05-13 14:00:00,9139.32,9050.23,9086.11,3859.6,35133475.5,9088.07,direct,
2020-05-13 15:00:00,9180.38,9087.98,9088.07,4755.18,43463123.95,9142.43,direct,
2020-05-13 16:00:00,9170.77,9063.07,9142.43,3833.26,34918456.99,9120.32,direct,
2020-05-13 17:00:00,9122.11,9060.23,9120.32,1868.49,16971881.63,9096.24,direct,
2020-05-13 18:00:00,9115.69,9082.12,9096.24,2011.98,18313736.31,9085.65,direct,
2020-05-13 19:00:00,9168.2,9085.18,9085.65,2236.73,20409155.55,9166.1,direct,
2020-05-13 20:00:00,9338.7,9154.17,9166.1,7963.2,73813602.29,9302.56,direct,
2020-05-13 21:00:00,9407.67,9290.09,9302.56,7549.29,70704485.43,9361.04,direct,
2020-05-13 22:00:00,9374.53,9279.6,9361.04,3701.19,34526938.42,9324.77,direct,
2020-05-13 23:00:00,9353.07,9304.13,9324.77,1802.43,16812126.88,9317.44,direct,
2020-05-14 00:00:00,9387.51,9304.16,9317.44,2410.13,22523580.03,9310.69,direct,
2020-05-14 01:00:00,9334.89,9275.6,9310.69,1761.67,16389648.88,9280.58,direct,
2020-05-14 02:00:00,9341.03,9263.29,9280.58,1529.38,14225895.28,9340.99,direct,
2020-05-14 03:00:00,9357.1,9316.3,9340.99,1404.01,13109592.15,9356.65,direct,
2020-05-14 04:00:00,9356.72,9307.76,9356.65,1958.87,18274154.65,9321.76,direct,
2020-05-14 05:00:00,9448.42,9274.61,9321.76,3493.38,32748924.87,9440.76,direct,
2020-05-14 06:00:00,9474.12,9411.74,9440.76,2608.08,24634263.75,9451.04,direct,
2020-05-14 07:00:00,9546.37,9420.11,9451.04,4407.31,41857930.98,9514.9,direct,
2020-05-14 08:00:00,9641.79,9487.94,9514.9,4084.36,39064142.18,9617.49,direct,
2020-05-14 09:00:00,9820.55,9616.16,9617.49,8291.91,80664847.83,9811.66,direct,
2020-05-14 10:00:00,9937.97,9600.65,9811.66,14127.87,137727710.74,9649.6,direct,
2020-05-14 11:00:00,9771.57,9649.6,9649.6,4431.45,43092194.88,9680.9,direct,
2020-05-14 12:00:00,9708.0,9564.48,9680.9,5233.75,50303908.28,9589.96,direct,
2020-05-14 13:00:00,9650.53,9545.72,9589.96,3315.46,31830022.14,9626.42,direct,
2020-05-14 14:00:00,9762.45,9613.23,9626.42,4490.19,43621070.75,9709.56,direct,
2020-05-14 15:00:00,9760.26,9669.98,9709.56,2553.04,24806050.15,9752.79,direct,
2020-05-14 16:00:00,9785.08,9624.84,9752.79,4236.66,41016175.3,9673.0,direct,
2020-05-14 17:00:00,9678.72,9582.94,9673.0,3009.12,28961005.36,9622.82,direct,
2020-05-14 18:00:00,9686.46,9587.1,9622.82,2305.62,22223932.22,9681.29,direct,
